unit_buy,unit_sell,same,npair,v_out
批,吨,0,60,61869214.08980469
UNKNOWN,年,0,118,61827053.08625488
个,条,0,603,61607710.72565065
千立方,千立方,1,2,61035014.68
千个,个,0,83,60801711.30544555
每百公斤,吨,0,2,60758555
度,KWH,0,4,60050029.42871094
个,米,0,682,59561855.23823059
万张,万张,1,9,59486441.42003905
UNKNOWN,1,0,57,58930951.22890625
枚,枚,1,60,57930872.53679931
箱,批,0,204,57781740.98081893
KWH,UNKNOWN,0,35,57437715.00952972
公斤,UNKNOWN,0,192,57380556.47494119
张,批,0,97,57343107.79655273
㎡,平方米,0,70,57051691.73807617
卷,支,0,37,56912851.6696521
个,W,0,2,56908188.65
T,T,1,25,56723873.27501953
基准吨,公斤,0,1,56655830.51000001
KG,箱,0,58,56519065.72329101
件,块,0,247,56277538.20044616
片,颗,0,4,56105282.72797607
瓶,批,0,83,55898812.99223388
m3,立方,0,15,55890774.72472656
张,平方米,0,76,55482337.70117188
KG,斤,0,32,55008948.15719238
个,张,0,375,54445139.64795563
立方米,m3,0,46,54003585.25453125
台,组,0,167,53779935.07229004
条,只,0,286,53706202.0840923
kg,台,0,107,53683687.39457031
千个,块,0,4,53680605.47
KG,UNKNOWN,0,82,53559085.14787754
卷,箱,0,138,53396822.21072754
件,kg,0,149,52990135.67263351
m3,m3,1,34,52961156.38820801
W,片,0,3,52939502.19998047
片,UNKNOWN,0,123,52732906.28672094
米,KM,0,31,52718813.96
把,只,0,331,52681526.18922719
付,副,0,143,52659368.04721557
项,个,0,75,52601347.54033829
W,瓦,0,2,52282450
台套,台,0,38,52167157.5965625
项,套,0,121,52161145.10733154
千只,只,0,93,52110806.43250365
L,升,0,18,51916020.54416025
颗,个,0,39,51782666.37468842
箱,套,0,158,51776921.59995973
公斤,批,0,158,51381187.08725395
每个,盒,0,1,51358134
百米,百米,1,3,51210143.778125
PC,UNKNOWN,0,47,51184841.15990555
套,米,0,350,51156171.13864257
个,月,0,41,51128091.41682556
平方米,只,0,112,51027850.9319223
克拉,克拉,1,10,50884157.619375
月,批,0,26,50651686.95976561
ST,只,0,6,50546113.64
支,UNKNOWN,0,269,50487808.20891508
单,UNKNOWN,0,59,50301435.31871094
平方米,件,0,75,50261977.50227082
桶,公斤,0,141,50117792.59866699
个,吨,0,221,50029495.8642615
km,米,0,57,49607870.66754883
袋,千克,0,12,49503917.548125
式,式,1,21,49469858.98
只,EA,0,209,49317504.25152056
套,组,0,169,49293763.98202706
kg,盒,0,122,49108418.59312935
PCS,枚,0,5,49005728.79005371
金吨,金吨,1,1,48957272
MT,吨,0,7,48875810.71
千只,千个,0,9,48815284.895
套,次,0,126,48766228.1008789
PC,片,0,4,48721454.48
吨,m3,0,31,48526253.69024658
吨,万只,0,4,48459779
米,根,0,477,48437652.95007384
个,把,0,1141,48337115.67117191
台,面,0,62,48023572.47093751
个,辆,0,62,47902851.12482878
票,次,0,19,47760725.27421875
批,项,0,81,47732304.59130859
片,支,0,192,47640148.42160799
件,包,0,277,47614427.75512949
部,部,1,49,47515573.18998779
套,把,0,485,47373950.7930911
J,个,0,5,47371191.8608017
千克,PRS,0,1,47253341.7
kg,包,0,110,47210119.25148054
片,PC,0,24,47063833.69163086
平米,平方米,0,58,46789083.07457031
吨,月,0,39,46768551.46685791
Each,台,0,9,46766019.05650391
kg,个,0,325,46613202.0946487
PAC,盒,0,3,46582177.953125
个,根,0,664,46442438.07232245
度,元,0,1,46387808
根,台,0,232,46106934.44030067
只,KG,0,99,45986581.29838532
克,千克,0,10,45634822.41999389
公斤,码,0,48,45365449.26173828
平方,套,0,84,45179083.00372069
千克,只,0,111,45175940.09460777
张,件,0,166,45166247.7193975
票,票,1,64,44904294.15725587
kg,套,0,209,44850824.97870056
1BT,瓶,0,87,44704832.46804456
项,栋,0,2,44590560
EACH,件,0,7,44586325.33862305
SET,PCS,0,6,44324691.49002441
米,平方米,0,86,44276575.20164062
节,节,1,180,44248430.57190331
盒,公斤,0,44,44186218.31083736
吨,吉焦,0,2,44016290.81
票,UNKNOWN,0,73,44000432.19
批,箱,0,65,43994609.48189454
次,个,0,73,43993391.77246703
平方英尺,双,0,26,43877505.65000001
PC.,台,0,6,43859278.32
瓶,UNKNOWN,0,381,43742980.19623159
平方,平方米,0,119,43658806.63011718
平方,UNKNOWN,0,40,43549536.01453125
粒,条,0,10,43455553.01
个,包,0,407,43444616.58627094
瓦,PCS,0,1,43048092
kwh,UNKNOWN,0,18,42990527.2732666
金属吨,吨,0,5,42914955.47000002
pc,个,0,15,42785903.95936035
千个,千个,1,26,42667683.29597656
笔,UNKNOWN,0,94,42494537.28578369
只,千套,0,1,42482144.1499999
套,KW.H,0,1,42324928.1
kW.h,UNKNOWN,0,1,42215366.39
kW·h,kw.h,0,5,42187821.5625
千克,盒,0,42,42057583.70293945
台,千克,0,92,41665881.91233032
吨,金吨,0,4,41613581.99
件,KG,0,116,41523256.67753128
顶,个,0,133,41266582.52198643
千支,千支,1,20,41157755.94128905
UNKNOWN,方,0,11,41139716.85664062
平米,片,0,10,41131789.70000732
吉焦,m2,0,1,41055900
KKWH,度,0,1,40844062.48
pcs,台,0,67,40661757.67138652
组,件,0,73,40550136.27895202
kwh,千瓦时,0,5,40500359.858125
块,件,0,175,40374439.90313056
批,片,0,28,40264871.02906249
平方米,M2,0,19,40155380.57833984
千瓦时,kw.h,0,22,40149503.02933594
支,吨,0,145,39783180.99979492
台,台套,0,21,39641352.76855469
SF,SF,1,1,39461465.8
PAK,箱,0,3,39381356.3
件,瓦,0,2,39180570.75
份,UNKNOWN,0,118,39152453.30963898
PCS,支,0,144,39122262.39378869
kg,Kg,0,111,39098244.39051315
台,片,0,189,39054526.73039429
包,件,0,146,39028048.19840656
吨,m2,0,22,39003509.79611328
KL,KL,1,1,38879634.43
条,批,0,60,38836086.19048217
千克,套,0,131,38679317.52513884
盒,KG,0,23,38660448.25372254
千件,个,0,102,38545567.4128456
千克,吨(MT),0,5,38411620.1625
w,度,0,1,38240473
套,kg,0,59,38223616.76227784
箱,组,0,39,38124073.09438232
只,块,0,515,38031471.17571279
件,公斤,0,167,37930244.19880462
PCS,SET,0,4,37813185.0499999
批,只,0,255,37682283.43448883
套,支,0,409,37173293.42358948
米,kg,0,75,37135221.78627808
千克,UNKNOWN,0,59,37078100.08932373
/,次,0,3,37012368
组,个,0,202,36938451.45982972
.,UNKNOWN,0,6,36922230.27
万支,UNKNOWN,0,2,36885000.93
吉焦,平方米,0,6,36700591.13375
只,吨,0,110,36694780.26337646
㎡,㎡,1,44,36499398.04906251
块,只,0,224,36420477.13965936
1,UNKNOWN,0,81,36381861.09641601
kg,桶,0,157,36103245.24241226
米,千米,0,24,36015361.54185547
公里,千米,0,6,35941307.421875
箱,片,0,54,35941190.84082436
