product_id,unit_std,dimension,nrec,value,share,qty_std,v_prod
106020499,千克,MASS,4,21907421,.2487883515134754,2716621.060058594,88056457.89575243
106020499,套,SET,8,1514111.838745117,.0171947847429615,377595,88056457.89575243
106020499,批,BATCH,1,875169.1875,.0099387280435024,15,88056457.89575243
106020499,平方米,AREA,1,680233.1875,.0077249665016654,16194.9052734375,88056457.89575243
106020499,OTHER,OTHER,23,80140.38998126984,.0009101023581501,54738,88056457.89575243
106020499,桶,CONTAINER,1,51956.8203125,.0005900398625392,2880,88056457.89575243
106020499,UNKNOWN,UNKNOWN,3,32589.69995117188,.0003701000554639,136,88056457.89575243
106020499,盒,CONTAINER,6,12542.58992195129,.0001424380473809,1691,88056457.89575243
106020499,千米,LENGTH,1,5510,.0000625734912767,.038,88056457.89575243
106020499,次,SERVICE,1,2000,.0000227127010079,1,88056457.89575243
106020499,副,SET,1,1749.260009765625,.0000198652097934,19023,88056457.89575243
106020499,包,CONTAINER,1,373.8599853515625,4.24568503305e-06,95,88056457.89575243
106020501,千瓦时,ENERGY,2,384158.75,.8860881495241015,383067,433544.6199188232
106020501,个,COUNT,8,31558.7099609375,.0727922998256709,2097,433544.6199188232
106020501,套,SET,4,12145,.028013264245498,318,433544.6199188232
106020501,UNKNOWN,UNKNOWN,1,5446.9599609375,.0125637816978501,72,433544.6199188232
106020501,盒,CONTAINER,1,235.1999969482422,.0005425047068795,9,433544.6199188232
106020502,批,BATCH,4,64873193.0078125,.428118824352823,983,151530811.8158078
106020502,个,COUNT,155,59177383.55135012,.3905303670073566,26542954.99999952,151530811.8158078
106020502,套,SET,18,23142035.99375153,.152721652556588,543284,151530811.8158078
106020502,OTHER,OTHER,15,4009934.550109863,.0264628328856583,234155,151530811.8158078
106020502,月,TIME,2,270687.3125,.0017863516287963,18,151530811.8158078
106020502,盒,CONTAINER,32,46853.64028930664,.000309202067407,1250,151530811.8158078
106020502,千米,LENGTH,1,5860,.0000386720029397,.08,151530811.8158078
106020502,UNKNOWN,UNKNOWN,5,3745.199996948242,.0000247157654082,168,151530811.8158078
106020502,桶,CONTAINER,3,588,3.88039892979e-06,7,151530811.8158078
106020502,份,SERVICE,1,440.5599975585938,2.90739548135e-06,1,151530811.8158078
106020502,卷,CONTAINER,1,90,5.93938611702e-07,50,151530811.8158078
106020503,个,COUNT,17,944988.6564941406,.5440884378750922,8183612,1736829.145248413
106020503,千米,LENGTH,2,425066,.2447367958805206,25.34,1736829.145248413
106020503,套,SET,8,348079.71875,.2004110304702512,983,1736829.145248413
106020503,UNKNOWN,UNKNOWN,1,17550,.0101046208534748,3000,1736829.145248413
106020503,箱,CONTAINER,1,800,.0004606094975943,1,1736829.145248413
106020503,盒,CONTAINER,2,344.7700042724609,.0001985054230669,13,1736829.145248413
106020504,千瓦时,ENERGY,1,649520,.9239573118479901,835596,702976.1999511719
106020504,盒,CONTAINER,1,28980,.0412247242538409,15,702976.1999511719
106020504,个,COUNT,6,21534.69995117188,.0306336117107061,5493,702976.1999511719
106020504,OTHER,OTHER,1,2924,.0041594580303047,5,702976.1999511719
106020504,千米,LENGTH,1,17.5,.0000248941571581,.005,702976.1999511719
106020599,个,COUNT,51,2978052.534967422,.367446028750085,4348307,8104734.578565598
106020599,平方米,AREA,3,2935418.0703125,.3621855894054485,161397.5246887207,8104734.578565598
106020599,批,BATCH,2,1306412.5234375,.161191277860294,84,8104734.578565598
106020599,套,SET,6,500991.0796813965,.0618146189520328,89524.94921875,8104734.578565598
106020599,千克,MASS,1,222600,.0274654275031665,420000,8104734.578565598
106020599,UNKNOWN,UNKNOWN,1,100035,.0123427854459985,2,8104734.578565598
106020599,千米,LENGTH,1,31656.150390625,.0039058836638951,2.556486083984375,8104734.578565598
106020599,副,SET,1,17930,.002212287129972,1789,8104734.578565598
106020599,OTHER,OTHER,4,7498.77978515625,.000925234467886,2752,8104734.578565598
106020599,盒,CONTAINER,5,3385.679992675781,.0004177410080313,134,8104734.578565598
