product_id,v_prod,n_units,dom_unit,dom_share,千克,个,UNKNOWN,套,千瓦时,千米,立方米,项,OTHER,平方米,盒,箱,次,瓶,批,月,伏安,桶,袋,份,笔,罐,瓦,副,卷,包,元,票,期,令,单,车
108049900,2.97067e+10,27,个,0.5112,0.328455,0.511205,0.007054,0.074092,0.000036,0.018183,0.000244,0.002241,0.016022,0.016225,0.000092,0.000624,0.000056,0.000011,0.016082,0.000021,,0.000047,0.000012,0.000000,0.000013,0.000004,0.003235,0.002719,0.002820,0.000501,0.000000,,,,,0.000004
107030709,2.96494e+10,22,个,0.9185,0.007034,0.918461,0.000196,0.001516,,0.000001,0.000003,0.000000,0.015269,,0.053365,0.001079,0.000012,0.000851,0.001307,0.000013,,0.000288,0.000017,0.000444,,0.000000,,0.000000,0.000000,0.000143,0.000000,,,,,
108010301,2.95168e+10,22,立方米,0.9439,0.022297,0.000646,0.008431,0.000097,,0.000545,0.943934,0.000124,0.011700,0.000202,0.000000,0.000008,0.000036,0.000000,0.011406,,,0.000000,0.000012,,0.000008,,,0.000002,0.000001,0.000044,0.000505,,,,,0.000002
107020202,2.93488e+10,17,千克,0.9983,0.998320,0.000043,0.000765,0.000004,,0.000001,0.000024,,0.000330,,0.000004,0.000000,0.000000,0.000064,0.000002,,,0.000442,0.000000,,,0.000000,,0.000000,,0.000000,,,,,,
107020217,2.79687e+10,7,千克,0.9998,0.999770,0.000014,0.000162,,,,0.000001,,0.000000,,,,,0.000007,,,,0.000047,,,,,,,,,,,,,,
108031501,2.61392e+10,22,千克,0.9629,0.962940,0.023652,0.000768,0.000721,0.000385,0.003171,0.000006,0.000055,0.006559,0.000672,0.000000,0.000003,0.000000,0.000002,0.000977,,,0.000002,0.000000,,,0.000000,,0.000009,0.000050,0.000026,0.000000,,,,,
109030503,2.54951e+10,20,个,0.9939,0.000012,0.993919,0.004831,0.000021,,0.000000,0.000004,0.000001,0.000079,,,,0.000012,0.000000,0.000913,0.000023,,0.000014,,,0.000093,,,0.000000,0.000000,0.000000,0.000076,,,,0.000002,0.000001
109031002,2.45822e+10,25,个,0.9253,0.007679,0.925280,0.033861,0.022126,0.000000,0.001105,0.000051,0.000469,0.002893,0.001474,0.000012,0.000020,0.000621,0.000127,0.002519,0.000000,,0.000636,0.000001,0.000005,,0.000056,,0.000650,0.000370,0.000014,0.000000,,,,,0.000031
305990000,2.4574e+10,25,UNKNOWN,0.5435,0.045265,0.005228,0.543490,0.000478,,0.002519,0.040504,0.262643,0.020161,0.003612,0.000258,0.000002,0.047760,0.000001,0.005835,0.000907,,0.000007,0.000001,0.000110,0.015128,0.000000,,0.000001,0.000004,0.000000,0.006033,,,,,0.000051
304020300,2.39381e+10,22,UNKNOWN,0.4815,0.000005,0.010509,0.481501,0.016316,0.000044,0.000108,,0.327634,0.018567,0.000115,0.000000,0.000000,0.066141,0.000000,0.005285,0.022485,,,,0.000022,0.006245,,,0.000000,0.000000,,0.011249,,0.033762,,0.000011,
109061803,2.30565e+10,13,个,0.9964,0.000000,0.996354,0.002779,0.000495,,,,,0.000000,,0.000029,0.000000,0.000000,,0.000341,0.000001,,0.000000,,,,,,0.000000,,,0.000000,,,,,
108020800,2.30075e+10,15,千克,0.9777,0.977705,0.002433,0.011268,0.000382,,0.001464,,,0.006705,0.000004,0.000007,0.000001,0.000000,0.000001,0.000021,,,,0.000000,,,,,0.000002,,0.000007,,,,,,
107010102,2.29466e+10,14,千克,0.9976,0.997558,0.000312,0.001205,0.000017,,0.000028,0.000137,,0.000165,,,0.000008,,0.000008,0.000010,,,0.000553,0.000000,,,,,0.000000,0.000000,,,,,,,
106010204,2.28995e+10,24,千克,0.8512,0.851203,0.102853,0.006633,0.003964,0.000008,0.002304,0.000029,,0.003432,0.024983,0.000011,0.000474,0.000030,0.000000,0.001700,,,0.000004,0.000004,0.000036,0.000000,,,0.000017,0.000943,0.000338,0.000000,0.000000,,0.001033,,
107022302,2.22797e+10,19,个,0.7147,0.001945,0.714733,0.004178,0.098296,,0.000002,,,0.000856,0.000046,0.037076,0.001495,,0.130750,0.000623,0.000002,,0.000002,0.000391,0.000028,,0.000031,,0.000000,0.000000,0.009547,,,,,,
107040302,2.19841e+10,13,千克,0.9820,0.981976,0.001029,0.000198,0.000127,,0.016220,,,0.000060,0.000380,,0.000000,,0.000000,0.000000,,,,,,,,,0.000006,0.000004,0.000000,,,,,,
104010102,2.19563e+10,20,千克,0.9332,0.933196,0.027460,0.002926,0.000290,,0.032541,0.000000,,0.000605,0.001481,0.000235,0.000010,0.000000,0.000070,0.000312,0.000524,,0.000001,0.000006,,,,,0.000099,0.000092,0.000151,,,,0.000001,,
109051104,2.16318e+10,19,个,0.9826,0.000399,0.982558,0.001695,0.014345,,0.000011,,0.000410,0.000197,0.000002,0.000103,0.000014,0.000003,0.000001,0.000177,0.000009,,0.000014,0.000000,,,,,0.000000,0.000001,0.000062,,,,,,
108030300,2.11555e+10,14,千克,0.9971,0.997079,0.000893,0.000315,0.000380,,0.000016,,,0.001277,0.000032,0.000000,,0.000000,0.000000,0.000005,,,0.000001,,,,,,,0.000003,0.000000,,,,,,
108020706,2.06125e+10,19,千克,0.9904,0.990373,0.006738,0.000292,0.000205,0.000003,0.001517,,0.000027,0.000125,0.000057,0.000004,0.000031,0.000000,0.000000,0.000382,,,,0.000000,,,,,0.000042,0.000203,0.000000,0.000000,,,,,
101010103,2.06027e+10,24,千克,0.9832,0.983168,0.004213,0.006773,0.001647,0.000081,0.000159,0.000132,0.000014,0.002095,0.000031,0.000192,0.000663,0.000186,0.000085,0.000207,0.000021,,0.000032,0.000184,0.000001,,0.000001,,0.000013,0.000049,0.000030,0.000023,,,,,
107010107,2.04361e+10,24,千克,0.4395,0.439501,0.007232,0.001878,0.000534,0.000018,0.000150,0.146459,0.000073,0.007371,0.000000,0.000026,0.004137,0.000006,0.004628,0.002260,,,0.385055,0.000006,,,0.000639,,0.000001,0.000007,0.000003,0.000015,,,,0.000000,0.000000
109051908,1.93323e+10,22,个,0.8561,0.005252,0.856088,0.010971,0.031760,0.000439,0.013486,,0.000030,0.007172,0.039479,0.000025,0.000042,0.000213,0.000002,0.002508,0.000000,,0.000002,0.000000,,0.000000,,0.029271,0.000764,0.002435,0.000060,,,,,,
102020200,1.93019e+10,19,立方米,0.8278,0.025468,0.000008,0.005546,0.000016,0.051179,0.000001,0.827819,,0.089747,0.000013,0.000000,0.000001,0.000002,0.000152,0.000018,0.000001,,0.000027,,,,0.000000,,,0.000000,,0.000000,,,,,
109010206,1.90616e+10,24,个,0.9368,0.017277,0.936815,0.003064,0.021027,0.000057,0.000318,0.000529,0.000022,0.005555,0.000016,0.000008,0.000096,0.000204,0.000684,0.003854,0.000001,,0.008066,0.000000,0.000010,,0.000178,,0.002167,0.000007,0.000043,,,,,,0.000002
109040401,1.89083e+10,20,个,0.9195,0.009667,0.919478,0.009178,0.054482,0.000932,0.000125,0.000010,0.000014,0.005017,0.000000,0.000000,,0.000023,0.000000,0.000798,,,0.000008,,0.000000,,,0.000233,0.000018,0.000000,,,,,,0.000016,
107022301,1.87284e+10,21,个,0.8393,0.002237,0.839293,0.003640,0.005805,,0.000001,0.000009,,0.002414,,0.015835,0.006665,0.000000,0.120457,0.000286,0.000002,,0.000394,0.000288,0.000007,0.000000,0.000029,,0.000000,0.000000,0.002638,,,,,,
106051299,1.86606e+10,26,个,0.7454,0.003672,0.745413,0.003658,0.020157,,0.001014,0.000002,0.000005,0.003424,0.000381,0.014830,0.097575,0.000001,0.077605,0.002308,0.000006,,0.000135,0.001952,0.000066,0.000001,0.021787,,0.000206,0.000872,0.004928,0.000001,,,,0.000000,0.000001
103020899,1.82284e+10,16,瓶,0.4995,0.004945,0.022785,0.000861,0.001536,,0.000000,0.000002,,0.004875,,0.202846,0.060008,,0.499516,0.000266,,,0.002509,0.001054,0.000000,,0.198704,,,,0.000091,,,,,,
107020201,1.79109e+10,20,千克,0.9954,0.995370,0.000191,0.001253,0.000002,,0.000134,0.000115,0.000005,0.000095,0.001515,0.000000,0.000004,0.000000,0.000908,0.000010,,,0.000266,0.000030,,,0.000001,,0.000000,0.000054,0.000045,,,,,,
106010599,1.74689e+10,27,个,0.4314,0.418471,0.431379,0.006734,0.027556,0.000233,0.002628,0.000003,0.000030,0.011760,0.050310,0.000612,0.010163,0.000022,0.000014,0.015354,0.000073,,0.000010,0.001568,0.002561,0.000000,0.000005,,0.000833,0.005735,0.004630,0.000001,,0.000000,0.009314,,
109041602,1.74232e+10,12,个,0.9892,0.000023,0.989215,0.006961,0.002235,,0.000001,,,0.001348,0.000024,,0.000042,0.000000,0.000000,0.000023,,,,,,,,,0.000127,,,,,,,,
102019900,1.73565e+10,22,千克,0.9913,0.991286,0.000299,0.007982,0.000151,0.000016,0.000000,0.000004,0.000001,0.000018,0.000075,0.000000,0.000057,0.000002,0.000016,0.000004,,,0.000009,0.000027,,,,,0.000000,0.000000,0.000000,0.000050,,,,,0.000003
108031401,1.69262e+10,20,千克,0.9041,0.904113,0.064444,0.001571,0.004107,,0.007147,0.000070,0.000003,0.014413,0.002915,0.000000,0.000001,0.000001,0.000001,0.000591,,,0.000001,0.000000,,,,0.000068,0.000532,0.000021,0.000000,,,,,,
104020199,1.68324e+10,25,个,0.9191,0.003211,0.919109,0.009659,0.039861,0.000036,0.007368,0.000000,0.000039,0.000963,0.000031,0.000903,0.000005,0.000017,0.000001,0.017585,0.000046,,0.000004,0.000008,0.000000,0.000000,0.000000,,0.000747,0.000006,0.000358,0.000042,,,,,
109031100,1.67688e+10,17,个,0.9914,0.000055,0.991413,0.000346,0.007658,,0.000000,0.000009,,0.000329,,0.000004,0.000000,0.000013,0.000013,0.000053,,,0.000080,0.000000,,,0.000001,,0.000025,,0.000000,,,,,,
