product_id,v_prod,n_units,dom_unit,dom_share,千克,个,UNKNOWN,套,千瓦时,千米,立方米,项,OTHER,平方米,盒,箱,次,瓶,批,月,伏安,桶,袋,份,笔,罐,瓦,副,卷,包,元,票,期,令,单,车
109041801,3.09332e+10,13,个,0.9806,1.88972e+06,3.03331e+10,5.48966e+08,1.02722e+06,,1690,,,4.63387e+07,,2580,149176,,37832.6,1.68437e+06,,,,5200,2199,,,,80,,,,,,,,
107010111,3.07699e+10,14,千克,0.9834,3.02599e+10,817744,1.59566e+08,63249,,2588,1.6585e+08,,8.94833e+07,,,384910,,9.17345e+07,,4000,,1.92474e+06,3162,,,175731,,,,182.01,,,,,,
109041401,3.01768e+10,16,个,0.9973,30100,3.00963e+10,2.19328e+07,2.59654e+06,,8060,54097.2,388731,5.07597e+07,6000,838,314379,,4680,4.3541e+06,,,4320,,2659,,,,180,,,,,,,,
108049900,2.97067e+10,27,个,0.5112,9.75734e+09,1.51862e+10,2.09541e+08,2.20105e+09,1.05644e+06,5.40161e+08,7.24125e+06,6.65862e+07,4.75974e+08,4.81997e+08,2.73969e+06,1.85354e+07,1.65451e+06,339687,4.77731e+08,618956,,1.39078e+06,370889,10475.4,390999,105729,9.6096e+07,8.07852e+07,8.37821e+07,1.48716e+07,2000,,,,,130850
107030709,2.96494e+10,22,个,0.9185,2.08543e+08,2.72318e+10,5.82602e+06,4.49544e+07,,18171.4,91374,7600,4.52717e+08,,1.58224e+09,3.20027e+07,350574,2.52326e+07,3.8764e+07,389690,,8.53721e+06,490173,1.31784e+07,,1500,,364.42,6464,4.23698e+06,223,,,,,
108010301,2.95168e+10,22,立方米,0.9439,6.58138e+08,1.90647e+07,2.48869e+08,2.8593e+06,,1.60744e+07,2.7862e+10,3.66354e+06,3.45357e+08,5.96522e+06,2984,221914,1.05685e+06,5421.4,3.36667e+08,,,7601.48,345850,,242329,,,57424.8,22190,1.30444e+06,1.49056e+07,,,,,50600
107020202,2.93488e+10,17,千克,0.9983,2.92995e+10,1.27228e+06,2.2439e+07,130187,,20627.3,711432,,9.69047e+06,,111495,6229,340,1.88588e+06,52031.2,,,1.29742e+07,535.5,,,4200,,2400,,798.25,,,,,,
107020217,2.79687e+10,7,千克,0.9998,2.79623e+10,399644,4.51697e+06,,,,33172.6,,631,,,,,191399,,,,1.30313e+06,,,,,,,,,,,,,,
108031501,2.61392e+10,22,千克,0.9629,2.51705e+10,6.18251e+08,2.0084e+07,1.88449e+07,1.00636e+07,8.28951e+07,144075,1.44446e+06,1.71451e+08,1.75581e+07,6057.72,66217.5,11134.5,60971.8,2.55312e+07,,,46950,5920.59,,,2004,,242847,1.31613e+06,674072,10800,,,,,
109030503,2.54951e+10,20,个,0.9939,299872,2.53401e+10,1.23155e+08,524294,,2696,105448,14298.4,2.02631e+06,,,,298922,644.1,2.32643e+07,585000,,356639,,,2.37264e+06,,,6266.14,240,2021.22,1.93176e+06,,,,58500,20000
109031002,2.45822e+10,25,个,0.9253,1.88775e+08,2.27454e+10,8.32388e+08,5.43893e+08,3789.86,2.71545e+07,1.25931e+06,1.15325e+07,7.11194e+07,3.62351e+07,290064,499946,1.52552e+07,3.11146e+06,6.19124e+07,5654,,1.56293e+07,21696.9,133151,,1.38844e+06,,1.59809e+07,9.08482e+06,332462,5000,,,,,771601
305990000,2.4574e+10,25,UNKNOWN,0.5435,1.11233e+09,1.28461e+08,1.33557e+10,1.17569e+07,,6.19057e+07,9.9534e+08,6.45418e+09,4.95445e+08,8.87577e+07,6.33527e+06,53622,1.17366e+09,26820.1,1.43399e+08,2.22968e+07,,178553,35810.8,2.6913e+06,3.71765e+08,6825,,15752.9,101847,11780.4,1.48249e+08,,,,,1.25765e+06
