product_id,value,n_units_raw,n_units_std,n_dims,n_units_phys,dom_unit,dom_dim,dom_share
101020408,8136805.329870462,18,6,4,2,千克,MASS,0.8168
107060307,8113336.5,9,4,4,2,个,COUNT,0.8504
101010701,8112556.854803085,16,9,5,2,千克,MASS,0.4886
106020599,8104734.5785655975,29,14,9,4,个,COUNT,0.3674
109040303,8102811.250699043,18,5,5,1,个,COUNT,0.9061
109061303,8062706.0,7,3,3,1,个,COUNT,0.6228
109061201,7973901.40272522,17,10,7,1,套,SET,0.524
106050308,7943337.171329498,20,10,6,2,个,COUNT,0.8474
302010300,7925805.776554108,8,7,7,2,UNKNOWN,UNKNOWN,0.9018
501010300,7890678.0,6,5,5,2,UNKNOWN,UNKNOWN,0.6907
107021803,7844909.45501709,30,12,7,4,OTHER,OTHER,0.624
106050604,7714497.934284687,23,10,7,3,个,COUNT,0.383
109010607,7686010.265136719,18,8,5,1,个,COUNT,0.9447
109061009,7443284.750595093,19,8,7,3,个,COUNT,0.3751
109061701,7420078.353258133,25,12,8,3,套,SET,0.5483
103011404,7306148.527427674,17,11,5,2,个,COUNT,0.3177
301030200,7297884.3876953125,6,6,4,1,次,SERVICE,0.8617
109021601,7279737.409240723,16,9,8,2,个,COUNT,0.6494
107021610,7270408.171453476,13,6,4,2,千克,MASS,0.9963
105011004,7266282.5712890625,13,9,5,3,个,COUNT,0.5006
101011904,7188947.9636974335,8,6,4,2,千克,MASS,0.8855
109060303,7151682.376876831,16,5,5,2,套,SET,0.5129
105010509,7103342.570808411,30,10,9,5,个,COUNT,0.3644
108011203,7023408.822856903,36,15,8,3,个,COUNT,0.8128
107030604,6981536.65719223,10,6,5,2,个,COUNT,0.4361
106041008,6952496.824852943,22,11,8,2,副,SET,0.4951
306010902,6940823.218261719,7,6,6,2,UNKNOWN,UNKNOWN,0.887
109025002,6889161.549758911,17,9,6,2,个,COUNT,0.534
106051007,6881511.724897385,35,16,10,4,个,COUNT,0.4624
109010606,6836471.149902344,19,7,5,1,个,COUNT,0.6871
109024004,6782736.72996521,11,7,6,3,个,COUNT,0.6842
109062301,6777172.719970703,11,8,4,1,个,COUNT,0.9838
109030601,6697867.439941406,6,4,4,1,UNKNOWN,UNKNOWN,0.9791
108032205,6695302.259765625,3,2,2,1,OTHER,OTHER,0.9919
106040502,6624879.732014179,34,15,10,4,个,COUNT,0.3787
103020906,6616124.88488865,22,12,7,3,千克,MASS,0.4599
109022301,6592774.1875190735,14,6,4,2,个,COUNT,0.9051
104010307,6589564.459228516,9,4,4,2,个,COUNT,0.9635
103011109,6347528.459270476,16,11,6,2,千克,MASS,0.8474
101040700,6301966.4883880615,12,9,6,2,千克,MASS,0.5316
109062103,6266348.1212768555,13,7,6,2,套,SET,0.682
106051113,6173363.630816698,34,15,8,3,千克,MASS,0.7614
109025103,6172931.550048828,7,4,3,1,套,SET,0.9973
101050400,6149065.189785004,17,10,6,2,千克,MASS,0.6463
104011304,6129991.001714706,20,8,8,3,套,SET,0.3366
109024007,6066579.051285088,21,8,8,4,个,COUNT,0.6139
106040302,6058385.150446414,39,17,10,4,千克,MASS,0.5281
109022501,5978897.858423233,22,8,7,2,个,COUNT,0.7938
109032601,5948500.160194397,14,7,6,3,个,COUNT,0.8941
109012202,5940759.517578125,15,8,7,2,套,SET,0.6356
108032409,5919439.36239624,10,5,5,3,个,COUNT,0.3725
109041604,5890691.945064545,12,4,4,1,个,COUNT,0.8691
101020204,5724322.80475235,24,10,8,4,千克,MASS,0.9461
106051106,5709609.172040939,12,8,7,2,个,COUNT,0.7913
103011202,5590456.669921875,10,7,4,2,千克,MASS,0.8769
106020401,5570852.112350464,19,10,7,2,个,COUNT,0.8713
109042204,5551686.603210449,14,7,6,2,千克,MASS,0.9024
101010899,5542344.392578125,7,4,4,1,个,COUNT,0.9731
105010603,5539016.237564087,22,11,9,4,桶,CONTAINER,0.4195
109061599,5513675.020019531,8,3,3,1,套,SET,0.6578
109022302,5499383.759292603,15,7,7,1,个,COUNT,0.8937
101020403,5488179.672044754,34,14,7,4,千克,MASS,0.6786
110020106,5473637.786529541,10,8,7,4,千克,MASS,0.5296
107021607,5462430.304126263,33,16,8,4,千克,MASS,0.8319
109061305,5426495.371719361,9,3,3,1,个,COUNT,0.7654
102050206,5415273.314588547,31,15,8,4,千克,MASS,0.4947
109010509,5401357.254489899,14,6,5,2,个,COUNT,0.7136
107021603,5378059.75,8,3,3,2,千克,MASS,0.9987
106050304,5350042.474369049,16,10,7,3,桶,CONTAINER,0.3854
107040401,5339914.864303589,18,11,6,3,千克,MASS,0.9579
103010404,5317788.862060547,13,6,4,2,千克,MASS,0.9186
106050699,5283365.5291137695,15,7,7,3,个,COUNT,0.8756
109023701,5262329.1337890625,11,7,6,2,个,COUNT,0.8913
105010507,5210928.824935913,25,10,8,4,立方米,VOLUME,0.5419
109061002,5179112.558830261,13,5,4,1,个,COUNT,0.8248
109024604,5141246.6039123535,13,6,5,1,袋,CONTAINER,0.703
109023905,5118142.059753418,10,4,4,2,套,SET,0.6702
109024305,5104902.054397583,18,10,7,2,个,COUNT,0.5212
