product_id,n_obs,n_firms,n_cities,mean_price,median_price,min_price,max_price,std_price,mean_lnp,std_lnp,min_lnp,max_lnp,mkt_price,range_price,range_lnp,cv_price
104011307,81,81,47,23.224,7.5,0.5529,352.0,48.5685,1.9954,1.5037,-0.5925,5.8636,2.8519,351.4471,6.4562,2.0913
104020401,81,81,45,254.5006,83.3159,10.0,5290.0382,630.6165,4.6411,1.2195,2.3026,8.5736,136.2809,5280.0382,6.271,2.4779
103030600,81,81,44,72.2921,23.6747,0.0876,1086.2525,138.3615,3.4223,1.3445,-2.435,6.9905,63.053,1086.1649,9.4254,1.9139
109041705,80,80,45,1133.0201,383.9575,7.0789,25829.9421,3059.9364,6.0679,1.2666,1.9571,10.1593,265.659,25822.8631,8.2022,2.7007
109051104,80,80,44,905.7455,257.8746,11.5203,21616.0364,2546.9589,5.6414,1.4739,2.4441,9.9812,243.7599,21604.5161,7.5371,2.812
108011401,79,79,45,28.5314,13.7959,1.14,149.7117,33.4535,2.8308,1.0056,0.131,5.0087,6.2555,148.5717,4.8777,1.1725
108040701,79,79,46,22.1774,8.2769,0.5266,258.717,42.1515,2.2605,1.2038,-0.6413,5.5557,8.8438,258.1904,6.197,1.9007
103020102,78,78,45,19.7938,6.3269,1.486,450.0019,61.4321,2.0513,1.0158,0.3961,6.1093,9.4856,448.5159,5.7132,3.1036
106020199,77,77,46,4.16,1.0059,0.004,49.514,7.9689,0.0,1.8508,-5.5194,3.9023,0.6026,49.5099,9.4216,1.9156
109042001,77,77,45,521.4549,162.1797,0.6812,12452.161,1480.9329,5.2524,1.2908,-0.384,9.4296,169.9086,12451.4799,9.8136,2.84
105020105,77,77,42,541.5898,24.0157,0.3177,35065.0,3992.2835,3.3901,1.7133,-1.1466,10.465,13.4377,35064.6823,11.6116,7.3714
103010801,77,77,45,17.2225,9.5283,1.5552,176.6399,28.8877,2.2929,0.9579,0.4416,5.1741,12.7647,175.0847,4.7325,1.6773
103020199,77,77,45,44.7005,18.7468,3.0913,453.9866,73.0723,3.0667,1.1312,1.1286,6.1181,15.4115,450.8953,4.9895,1.6347
103020207,76,76,45,14.8609,7.1611,1.8199,138.426,21.8227,2.1709,0.9263,0.5988,4.9303,15.9461,136.606,4.3315,1.4685
109041403,76,76,42,7255.1367,1831.0907,20.8614,73438.2,14136.3476,7.5777,1.6898,3.0379,11.2042,2318.8907,73417.3386,8.1663,1.9485
103010203,75,75,48,370.4703,18.2441,3.8498,24788.7113,2858.309,3.2343,1.2274,1.348,10.1181,26.8396,24784.8614,8.7701,7.7154
109051101,75,75,44,2287.9288,994.7487,3.2764,14100.0,3241.9741,6.8809,1.5175,1.1868,9.5539,340.256,14096.7236,8.3672,1.417
103020302,74,74,44,21.9818,15.4418,5.3558,147.6361,22.8525,2.7976,0.6968,1.6782,4.9948,20.9985,142.2802,3.3166,1.0396
109013104,74,74,41,14481.7214,3396.5,3.1556,231769.97,36606.3497,7.8203,2.2498,1.1492,12.3535,884.0451,231766.8144,11.2043,2.5278
106010507,74,74,42,3347.5804,3.6514,0.0074,231783.725,26975.1589,0.9291,2.8621,-4.9043,12.3536,0.3213,231783.7176,17.2579,8.0581
103029900,74,74,47,30.0633,15.3059,1.0335,200.0448,40.4551,2.8944,0.9339,0.0329,5.2985,105.0507,199.0113,5.2656,1.3457
107022304,73,73,42,99.062,41.2888,4.5393,1321.9082,182.5402,3.8568,1.1542,1.5128,7.1868,50.2911,1317.3689,5.6741,1.8427
104010105,73,73,44,393.6206,11.9088,1.0552,25600.0,2992.0501,2.9158,1.598,0.0537,10.1503,7.8008,25598.9448,10.0967,7.6014
109023207,73,73,49,738.3995,32.801,0.0091,21000.0,2725.4338,3.3335,3.1214,-4.6991,9.9523,2.1218,20999.9909,14.6513,3.691
106051205,73,73,41,44.8457,27.134,1.8463,442.0388,67.1509,3.4174,0.769,0.6132,6.0914,19.085,440.1926,5.4782,1.4974
109041702,72,72,40,1906.4043,335.3659,0.7416,47906.8021,5971.9688,5.7986,1.9843,-0.2989,10.777,254.1006,47906.0604,11.0759,3.1326
104030399,72,72,45,307.5475,103.5658,0.1561,6934.2,894.3912,4.443,1.689,-1.8574,8.8442,30.9432,6934.0439,10.7017,2.9081
109052205,72,72,42,283.9443,78.0264,1.0024,1779.945,379.7779,4.5439,1.8098,0.0024,7.4843,55.8256,1778.9426,7.4819,1.3375
109060307,72,72,38,2102.6858,101.2465,3.7905,107290.3571,12674.9683,5.0664,1.8442,1.3325,11.5833,137.3316,107286.5666,10.2508,6.028
109051906,72,72,38,458.0738,176.1419,0.2534,8369.8772,1086.6663,4.9029,1.7738,-1.3728,9.0324,38.8894,8369.6238,10.4052,2.3723
107050402,72,72,42,44.5947,3.4074,0.0297,2520.456,296.7144,1.2357,1.8103,-3.516,7.8322,1.5041,2520.4263,11.3482,6.6536
106040110,72,72,48,4.0252,1.632,0.1574,44.04,6.9645,0.7348,0.9921,-1.8488,3.7851,3.9625,43.8826,5.6339,1.7302
108040412,71,71,42,214.8827,37.3639,1.5558,3350.0,564.8249,3.8582,1.6388,0.442,8.1167,17.7527,3348.4442,7.6747,2.6285
104030304,71,71,45,78.3965,15.3108,0.1171,1668.1767,223.6243,2.7462,2.0155,-2.1449,7.4195,1.8353,1668.0596,9.5644,2.8525
106010204,70,70,39,119.2715,7.0369,0.1034,3586.4287,578.382,1.9899,1.9171,-2.2695,8.1849,4.2345,3586.3254,10.4544,4.8493
307990000,70,70,49,55733.2435,5731.7607,0.6178,936693.0,162827.3631,8.1849,3.072,-0.4816,13.7501,687.7406,936692.3822,14.2317,2.9215
103010701,70,70,44,89.5066,26.9996,7.1518,2261.8784,287.3811,3.4929,1.076,1.9674,7.724,18.399,2254.7265,5.7566,3.2107
